world_rank,university_name,country,teaching,international outlook,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,tuition_fee,median_salary
401-500,University of Coimbra,Portugal,28.3,46.2,26.5,42.4,34.8,,22795,19,0.11,55:45:00,2016,,
401-500,Complutense University of Madrid,Spain,33.2,39.1,27.6,31.2,30.9,,86519,17.5,0.13,62:38:00,2016,,
401-500,Concordia University,Canada,19.3,77.4,23.4,36.4,30.9,,31017,30.3,0.27,50:50:00,2016,,
401-500,Dublin City University,Republic of Ireland,26.1,76.7,25.2,36.3,51.7,,8546,22.9,0.17,51:49:00,2016,,
401-500,University of Ferrara,Italy,17.7,41.8,17.2,63.3,35.9,,18882,30.2,0.07,56:44:00,2016,,
401-500,Florida International University,United States of America,25.7,32.8,18.1,49.4,32.7,,32566,25.9,0.07,56:44:00,2016,,43200
401-500,University of Genoa,Italy,27.2,38.8,14.2,59.3,42.3,,37373,29.5,0.09,56:44:00,2016,,
401-500,Georgia State University,United States of America,26.3,29.5,19.5,52.9,28.7,,28534,20.4,0.05,59:41:00,2016,,41800
401-500,University of Graz,Austria,24.9,68.9,16.3,53.3,29.3,,20584,26.8,0.12,65:35:00,2016,,
401-500,Heriot-Watt University,United Kingdom,23.4,90.1,22.4,36.4,45.6,,8773,17.8,0.43,41:59:00,2016,,35250
401-500,Howard University,United States of America,38.8,30.3,11,44.5,,,10297,6.8,0.05,65:35:00,2016,24908,46900
401-500,University of Hull,United Kingdom,22.4,73.2,16.1,41.1,31.8,,15141,18.7,0.2,52:48:00,2016,21150,36660
401-500,University of Idaho,United States of America,28.3,32,19.4,40.8,32.4,,11641,21.5,0.06,47:53:00,2016,22040,44900
401-500,Johannes Kepler University of Linz,Austria,19.2,58.5,13.8,51.6,37.4,,19646,29.1,0.1,48:52:00,2016,,
401-500,University of Kaiserslautern,Germany,29.6,44.1,22.6,47.5,80.2,,14184,54.4,0.14,36 : 64,2016,,
401-500,Keele University,United Kingdom,20,72.7,17.6,53,29.3,,8397,15.7,0.2,55:45:00,2016,21855,38070
401-500,Lehigh University,United States of America,23.9,36,15,58.2,38.9,,6300,11.3,0.15,44:56:00,2016,48320,59200
401-500,Louisiana State University,United States of America,26.8,26.1,27.7,37.8,,,28116,20.1,0.06,52:48:00,2016,27005,46900
401-500,Marche Polytechnic University,Italy,15.2,27.3,11,80.2,28,,16589,23,0.04,45:55:00,2016,,
401-500,"University of Maryland, Baltimore County",United States of America,21.3,28.2,18.2,61.3,31.7,,13908,18.1,0.07,46:54:00,2016,24492,47000
401-500,University of Nantes,France,19.6,35.1,12.2,69.4,,,33866,22.2,0.11,56:44:00,2016,,
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),France,27,63.6,10.6,41.8,40.3,,6137,8.2,0.31,31 : 69,2016,,
401-500,University of Neuchâtel,Switzerland,24.2,91.4,14.7,48.2,,,4358,8.5,0.22,59:41:00,2016,,
401-500,New University of Lisbon,Portugal,26.9,44.5,21.9,38.3,41.3,,18867,17.9,0.07,49:51:00,2016,,
401-500,University of Nice Sophia Antipolis,France,21.4,79.5,16.1,53.7,28.5,,27304,20.3,0.22,56:44:00,2016,,
401-500,The Open University,United Kingdom,21,51.5,13.8,60.3,28.4,,76683,35.9,0.09,61:39:00,2016,,33840
401-500,Oxford Brookes University,United Kingdom,25.7,68.9,18.8,42.7,28.4,,14238,18.5,0.25,57:43:00,2016,18978.6,31020
401-500,University of Palermo,Italy,15.3,23.6,9.1,77.4,28,,43875,22.4,0.01,60:40:00,2016,,
401-500,University of Parma,Italy,17.7,36.8,16.6,56.4,37.1,,26937,29.1,0.07,56:44:00,2016,,
401-500,University of Pisa,Italy,21.6,31.1,18.9,64.5,31.4,,47247,18,0.04,52:48:00,2016,,
401-500,Polytechnic University of Catalonia,Spain,25.2,63.9,14.8,44.7,40.9,,22893,11.7,0.28,0.561111111,2016,,
401-500,University of Porto,Portugal,32,45.4,28.2,37.2,38.7,,32720,18.8,0.09,54:46:00,2016,,
